1/1                       201 ns
10/1                      411 ns
10/10                     929 ns
100/1                    1506 ns
100/10                   6749 ns
100/100                 13941 ns
1000/1                  13598 ns
1000/10                 40324 ns
1000/100               130379 ns
1000/1000              219482 ns
10000/1                131830 ns
10000/10               307840 ns
10000/100              837497 ns
10000/1000            1755989 ns
10000/10000           3051199 ns
100000/1              1325904 ns
100000/10             3139384 ns
100000/100            5546841 ns
100000/1000          10667634 ns
100000/10000         27814317 ns
100000/100000        52541772 ns
1000000/1            12410162 ns
1000000/10           25633888 ns
1000000/100          50870097 ns
1000000/1000        100234272 ns
1000000/10000       177956684 ns
1000000/100000      387767979 ns
1000000/1000000    1070438111 ns
10000000/1          120354727 ns
10000000/10         257645302 ns
10000000/100        481526946 ns
10000000/1000       784743335 ns
10000000/10000     1671102426 ns
10000000/100000    3426941179 ns
10000000/1000000   1.4261e+10 ns
10000000/10000000  2.5188e+10 ns
