1/1                      408 ns
10/1                     598 ns
10/10                   1016 ns
100/1                   1506 ns
100/10                  6164 ns
100/100                12731 ns
1000/1                 10358 ns
1000/10                33166 ns
1000/100              102958 ns
1000/1000             177105 ns
10000/1                98030 ns
10000/10              235688 ns
10000/100             604205 ns
10000/1000           1409730 ns
10000/10000          2537474 ns
100000/1              971535 ns
100000/10            2116758 ns
100000/100           4514296 ns
100000/1000          9010097 ns
100000/10000        22376087 ns
100000/100000       40129903 ns
1000000/1            9705161 ns
1000000/10          20805900 ns
1000000/100         40762856 ns
1000000/1000        74225110 ns
1000000/10000      137658056 ns
1000000/100000     367652400 ns
1000000/1000000   1178321709 ns
10000000/1          93297178 ns
10000000/10        202716066 ns
10000000/100       389580039 ns
10000000/1000      641074939 ns
10000000/10000    1363158424 ns
10000000/100000   2960634493 ns
10000000/1000000  1.3477e+10 ns
10000000/10000000 2.2499e+10 ns
