1/1                        198 ns
10/1                       487 ns
10/10                     1045 ns
100/1                     1418 ns
100/10                    6537 ns
100/100                  13308 ns
1000/1                   10760 ns
1000/10                  37847 ns
1000/100                123289 ns
1000/1000               164520 ns
10000/1                  86664 ns
10000/10                263816 ns
10000/100              1033932 ns
10000/1000             1730176 ns
10000/10000            1720608 ns
100000/1                780902 ns
100000/10              2089534 ns
100000/100             9374804 ns
100000/1000           20201462 ns
100000/10000          18704565 ns
100000/100000         22721683 ns
1000000/1              8596906 ns
1000000/10            18154917 ns
1000000/100           96737296 ns
1000000/1000         185109545 ns
1000000/10000        187985851 ns
1000000/100000       179596074 ns
1000000/1000000      178119927 ns
10000000/1            80032617 ns
10000000/10          160652371 ns
10000000/100        1011559604 ns
10000000/1000       1754245480 ns
10000000/10000      1724949446 ns
10000000/100000     1745462605 ns
10000000/1000000    1720523605 ns
10000000/10000000   1736592474 ns
