1000/1/1             60775 ns
1000/1/10            60351 ns
1000/1/100           55105 ns
1000/1/1000          47292 ns
1000/3/1             64714 ns
1000/3/10            58081 ns
1000/3/100           55064 ns
1000/3/1000          47561 ns
1000/5/1             62209 ns
1000/5/10            60054 ns
1000/5/100           53403 ns
1000/5/1000          48263 ns
1000/7/1             62345 ns
1000/7/10            58762 ns
1000/7/100           57571 ns
1000/7/1000          48216 ns
1000/9/1             64513 ns
1000/9/10            58185 ns
1000/9/100           57608 ns
1000/9/1000          45707 ns
10000/1/1           597167 ns
10000/1/10          552205 ns
10000/1/100         478404 ns
10000/1/1000        437366 ns
10000/3/1           615254 ns
10000/3/10          585381 ns
10000/3/100         484311 ns
10000/3/1000        436319 ns
10000/5/1           604057 ns
10000/5/10          564123 ns
10000/5/100         529817 ns
10000/5/1000        423854 ns
10000/7/1           638551 ns
10000/7/10          600175 ns
10000/7/100         541072 ns
10000/7/1000        507663 ns
10000/9/1           616662 ns
10000/9/10          596909 ns
10000/9/100         545503 ns
10000/9/1000        428353 ns
100000/1/1         6450502 ns
100000/1/10        5867905 ns
100000/1/100       5266366 ns
100000/1/1000      5047317 ns
100000/3/1         6440237 ns
100000/3/10        5757290 ns
100000/3/100       5398699 ns
100000/3/1000      4600297 ns
100000/5/1         6718535 ns
100000/5/10        6639775 ns
100000/5/100       5339533 ns
100000/5/1000      5064345 ns
100000/7/1         6769250 ns
100000/7/10        5674948 ns
100000/7/100       5084838 ns
100000/7/1000      4509225 ns
100000/9/1         7303495 ns
100000/9/10        6091140 ns
100000/9/100       5547070 ns
100000/9/1000      5022196 ns
1000000/1/1       72180367 ns
1000000/1/10      63241370 ns
1000000/1/100     51276234 ns
1000000/1/1000    53424091 ns
1000000/3/1       70624611 ns
1000000/3/10      64505011 ns
1000000/3/100     56380322 ns
1000000/3/1000    50967515 ns
1000000/5/1       73202334 ns
1000000/5/10      65080977 ns
1000000/5/100     58719825 ns
1000000/5/1000    56556111 ns
1000000/7/1       70422581 ns
1000000/7/10      64074321 ns
1000000/7/100     60937760 ns
1000000/7/1000    54095606 ns
1000000/9/1       71051476 ns
1000000/9/10      66557354 ns
1000000/9/100     57758832 ns
1000000/9/1000    51402453 ns
10000000/1/1     748327663 ns
10000000/1/10    606812520 ns
10000000/1/100   691581432 ns
10000000/1/1000  586252925 ns
10000000/3/1     698730655 ns
10000000/3/10    658469341 ns
10000000/3/100   583886205 ns
10000000/3/1000  542819532 ns
10000000/5/1     664067912 ns
10000000/5/10    618897405 ns
10000000/5/100   587073120 ns
10000000/5/1000  544449274 ns
10000000/7/1     732177117 ns
10000000/7/10    663964387 ns
10000000/7/100   574216481 ns
10000000/7/1000  543971453 ns
10000000/9/1     724943484 ns
10000000/9/10    672968584 ns
10000000/9/100   594763774 ns
10000000/9/1000  550001197 ns
