1000/1/1               58963 ns
1000/1/10              55345 ns
1000/1/100             52492 ns
1000/1/1000            44974 ns
1000/3/1               59304 ns
1000/3/10              55674 ns
1000/3/100             52797 ns
1000/3/1000            45085 ns
1000/5/1               58740 ns
1000/5/10              55244 ns
1000/5/100             52557 ns
1000/5/1000            44644 ns
1000/7/1               58871 ns
1000/7/10              54661 ns
1000/7/100             52023 ns
1000/7/1000            44661 ns
1000/9/1               58481 ns
1000/9/10              55032 ns
1000/9/100             52068 ns
1000/9/1000            45290 ns
10000/1/1             577964 ns
10000/1/10            525615 ns
10000/1/100           468157 ns
10000/1/1000          397122 ns
10000/3/1             576848 ns
10000/3/10            532444 ns
10000/3/100           462296 ns
10000/3/1000          393961 ns
10000/5/1             579179 ns
10000/5/10            529915 ns
10000/5/100           472504 ns
10000/5/1000          397243 ns
10000/7/1             571766 ns
10000/7/10            534367 ns
10000/7/100           470163 ns
10000/7/1000          401258 ns
10000/9/1             580350 ns
10000/9/10            539034 ns
10000/9/100           467279 ns
10000/9/1000          407657 ns
100000/1/1           6020147 ns
100000/1/10          5394060 ns
100000/1/100         4821469 ns
100000/1/1000        4278201 ns
100000/3/1           6070781 ns
100000/3/10          5371839 ns
100000/3/100         4857602 ns
100000/3/1000        4222923 ns
100000/5/1           6165012 ns
100000/5/10          5546874 ns
100000/5/100         4844985 ns
100000/5/1000        4241240 ns
100000/7/1           6134324 ns
100000/7/10          5538933 ns
100000/7/100         4853692 ns
100000/7/1000        4216105 ns
100000/9/1           6136596 ns
100000/9/10          5524395 ns
100000/9/100         4879125 ns
100000/9/1000        4247096 ns
1000000/1/1         62762631 ns
1000000/1/10        56666799 ns
1000000/1/100       51435594 ns
1000000/1/1000      46231259 ns
1000000/3/1         72574173 ns
1000000/3/10        57082204 ns
1000000/3/100       51653870 ns
1000000/3/1000      46174662 ns
1000000/5/1         62970846 ns
1000000/5/10        58693274 ns
1000000/5/100       51782620 ns
1000000/5/1000      46877304 ns
1000000/7/1         63474120 ns
1000000/7/10        57251346 ns
1000000/7/100       51740074 ns
1000000/7/1000      46452229 ns
1000000/9/1         63782200 ns
1000000/9/10        56986123 ns
1000000/9/100       52325122 ns
1000000/9/1000      46242059 ns
10000000/1/1       663751435 ns
10000000/1/10      710814838 ns
10000000/1/100     675335687 ns
10000000/1/1000    554443799 ns
10000000/3/1       669969996 ns
10000000/3/10      640222734 ns
10000000/3/100     571929872 ns
10000000/3/1000    525083588 ns
10000000/5/1       696122460 ns
10000000/5/10      657271563 ns
10000000/5/100     692108565 ns
10000000/5/1000    543920396 ns
10000000/7/1       702742607 ns
10000000/7/10      621537881 ns
10000000/7/100     585250606 ns
10000000/7/1000    558139864 ns
10000000/9/1       670546179 ns
10000000/9/10      632693063 ns
10000000/9/100     591425533 ns
10000000/9/1000    534836349 ns
