1000/1/1              71978 ns
1000/1/10             73880 ns
1000/1/100            61334 ns
1000/1/1000           52618 ns
1000/3/1              74995 ns
1000/3/10             71077 ns
1000/3/100            64663 ns
1000/3/1000           54116 ns
1000/5/1              71870 ns
1000/5/10             74257 ns
1000/5/100            63427 ns
1000/5/1000           52255 ns
1000/7/1              76426 ns
1000/7/10             70758 ns
1000/7/100            61652 ns
1000/7/1000           54632 ns
1000/9/1              71489 ns
1000/9/10             71366 ns
1000/9/100            63860 ns
1000/9/1000           52617 ns
10000/1/1            945671 ns
10000/1/10           975458 ns
10000/1/100          954246 ns
10000/1/1000         575354 ns
10000/3/1            955911 ns
10000/3/10           950108 ns
10000/3/100          967989 ns
10000/3/1000         576121 ns
10000/5/1            954202 ns
10000/5/10           984389 ns
10000/5/100          948652 ns
10000/5/1000         572532 ns
10000/7/1           1034286 ns
10000/7/10           969920 ns
10000/7/100          952364 ns
10000/7/1000         594861 ns
10000/9/1            946417 ns
10000/9/10           946687 ns
10000/9/100         1025843 ns
10000/9/1000         573593 ns
100000/1/1          9986295 ns
100000/1/10         9973596 ns
100000/1/100       10411650 ns
100000/1/1000      10015579 ns
100000/3/1          9840778 ns
100000/3/10        10229269 ns
100000/3/100        9555768 ns
100000/3/1000       9493480 ns
100000/5/1         10132258 ns
100000/5/10         9639798 ns
100000/5/100        9856844 ns
100000/5/1000       9582150 ns
100000/7/1          9769608 ns
100000/7/10         9995165 ns
100000/7/100        9582102 ns
100000/7/1000       9588732 ns
100000/9/1          9995991 ns
100000/9/10         9569240 ns
100000/9/100        9556087 ns
100000/9/1000      10066422 ns
1000000/1/1        96176097 ns
1000000/1/10       97613169 ns
1000000/1/100     100624231 ns
1000000/1/1000     98555598 ns
1000000/3/1       104413145 ns
1000000/3/10       99432595 ns
1000000/3/100      99693534 ns
1000000/3/1000    103029453 ns
1000000/5/1        98988828 ns
1000000/5/10       99472129 ns
1000000/5/100     102736493 ns
1000000/5/1000     99852764 ns
1000000/7/1        99767545 ns
1000000/7/10      104001127 ns
1000000/7/100      99277564 ns
1000000/7/1000    101413111 ns
1000000/9/1       106234732 ns
1000000/9/10      101160846 ns
1000000/9/100     101519190 ns
1000000/9/1000    103186221 ns
10000000/1/1     1008653891 ns
10000000/1/10    1035038255 ns
10000000/1/100   1008592265 ns
10000000/1/1000  1035290049 ns
10000000/3/1     1007324577 ns
10000000/3/10    1048658513 ns
10000000/3/100    995387349 ns
10000000/3/1000  1008753269 ns
10000000/5/1     1003297087 ns
10000000/5/10     997937077 ns
10000000/5/100   1044738747 ns
10000000/5/1000   997733000 ns
10000000/7/1     1013371573 ns
10000000/7/10    1010016760 ns
10000000/7/100   1044102446 ns
10000000/7/1000   994763044 ns
10000000/9/1     1024735539 ns
10000000/9/10     998017106 ns
10000000/9/100   1005931331 ns
10000000/9/1000  1019804115 ns
